               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.031872,            0.052986,            0.010888,             0.94915,             0.94502,             0.95019,             0.56301,            0.031483,            0.038664,           0.0070126,            0.006436,            0.006436,            0.006436
                  38,            0.031852,            0.052542,            0.010766,              0.9493,             0.94792,             0.95666,             0.58111,            0.030431,            0.037431,           0.0070954,            0.006337,            0.006337,            0.006337
                  39,            0.031441,            0.051237,            0.010496,             0.94221,             0.94671,             0.95014,              0.5612,             0.03157,            0.038728,           0.0067933,            0.006238,            0.006238,            0.006238
                  40,            0.031358,            0.052525,            0.010228,             0.95851,             0.94275,             0.95852,             0.58171,            0.030132,            0.038147,           0.0067358,            0.006139,            0.006139,            0.006139
                  41,            0.031176,            0.050659,              0.0101,              0.9524,              0.9429,             0.95329,             0.57539,            0.030457,            0.038372,           0.0066012,             0.00604,             0.00604,             0.00604
                  42,            0.031036,            0.051729,            0.010078,             0.94951,             0.94656,             0.95765,             0.59658,            0.029744,            0.038161,           0.0064599,            0.005941,            0.005941,            0.005941
                  43,            0.031001,             0.05144,           0.0096933,             0.95651,             0.94003,             0.95458,             0.57787,            0.030073,            0.038186,           0.0063733,            0.005842,            0.005842,            0.005842
                  44,            0.030438,             0.05132,           0.0097122,             0.94584,             0.94211,             0.95235,             0.57994,            0.030391,            0.038616,           0.0065745,            0.005743,            0.005743,            0.005743
                  45,             0.03048,             0.05085,           0.0095262,             0.94616,             0.94623,             0.95881,              0.5693,            0.030943,            0.039009,           0.0065686,            0.005644,            0.005644,            0.005644
                  46,            0.030436,            0.051586,           0.0093906,              0.9541,             0.94063,             0.95874,             0.58014,            0.030548,             0.03913,           0.0063031,            0.005545,            0.005545,            0.005545
                  47,            0.029963,            0.050583,           0.0091656,             0.94924,              0.9429,             0.95927,             0.59157,             0.02972,            0.037735,           0.0062498,            0.005446,            0.005446,            0.005446
                  48,            0.029534,            0.049739,           0.0089917,             0.95598,             0.94143,             0.95887,             0.59075,            0.029964,            0.038603,           0.0059017,            0.005347,            0.005347,            0.005347
                  49,            0.029829,            0.050365,           0.0088361,             0.95824,             0.94246,             0.96329,             0.58888,            0.030043,             0.03858,           0.0059692,            0.005248,            0.005248,            0.005248
                  50,            0.029243,            0.049709,           0.0085739,               0.952,              0.9445,             0.96037,             0.59914,            0.029312,             0.03809,           0.0060508,            0.005149,            0.005149,            0.005149
                  51,            0.028915,            0.049498,           0.0086685,             0.94972,             0.94402,             0.95317,              0.5752,            0.030464,            0.038861,           0.0057795,             0.00505,             0.00505,             0.00505
                  52,             0.02928,            0.049415,           0.0085328,             0.95395,             0.94693,             0.96231,             0.59126,            0.029598,            0.038249,            0.005876,            0.004951,            0.004951,            0.004951
                  53,            0.028822,            0.049596,           0.0083801,             0.94558,             0.94497,             0.94831,             0.58768,            0.029624,            0.038851,           0.0057763,            0.004852,            0.004852,            0.004852
                  54,            0.028792,            0.049673,           0.0082578,             0.95468,             0.94713,             0.96216,             0.60155,            0.029187,            0.038326,           0.0057701,            0.004753,            0.004753,            0.004753
                  55,            0.028661,            0.049009,            0.008164,             0.94922,             0.94564,             0.95517,             0.57652,            0.030573,            0.038796,           0.0059348,            0.004654,            0.004654,            0.004654
                  56,            0.028001,            0.049189,           0.0079226,             0.95428,             0.94739,              0.9602,             0.59484,            0.029501,            0.038459,           0.0056524,            0.004555,            0.004555,            0.004555
                  57,            0.028076,            0.048042,           0.0079122,             0.94883,             0.94575,             0.96032,             0.59044,            0.029524,            0.038354,           0.0057235,            0.004456,            0.004456,            0.004456
                  58,            0.027765,            0.048491,           0.0079466,             0.95435,             0.94456,             0.95861,             0.59688,            0.029504,             0.03853,           0.0056682,            0.004357,            0.004357,            0.004357
